name,price,location,station,area,plan,balcony,build,regist,hashdata,kanrihi,shuuzen,kaisu,soukosu
秀和小岩レジデンス,2880万円,東京都江戸川区東小岩６,ＪＲ総武線「小岩」歩12分,50.75m,2LDK,バルコニー面積：5m,1973年11月,2023/01/04 18:44,8bd6d5f4747448b4dbae8a3f74a953fb464db39661c018387dd0254f99989fb1,9200円／月（委託(通勤)）,1万700円／月,8階,113戸
秀和小岩レジデンス,2880万円,東京都江戸川区東小岩６,ＪＲ総武線「小岩」歩12分,50.75m,2LDK,バルコニー面積：5m,1973年11月,2023/01/04 18:44,8bd6d5f4747448b4dbae8a3f74a953fb464db39661c018387dd0254f99989fb1,9200円／月（委託(通勤)）,1万700円／月,8階,113戸
秀和小岩レジデンス,2880万円,東京都江戸川区東小岩６-33-12,ＪＲ総武線「小岩」歩12分,50.75m,2LDK,バルコニー面積：5m,1973年11月,2023/01/04 18:44,8bd6d5f4747448b4dbae8a3f74a953fb464db39661c018387dd0254f99989fb1,9200円／月（委託(通勤)）,1万700円／月,8階,113戸
グリーンパーク亀有III,2899万円,東京都足立区中川３,ＪＲ常磐線「亀有」歩10分,62.51m,3LDK,バルコニー面積：6.14m,1991年2月,2023/01/04 18:44,4d6b35dcdc907028bd792223acc630f5e9feaa21140ecf2ae36a52d5f61d2b55,1万7970円／月（委託(通勤)）,1万270円／月,1階,31戸
朝日プラザ荒川遊園,2900万円,東京都荒川区西尾久７,ＪＲ高崎線「尾久」歩5分,53.55m,1LDK,バルコニー面積：6.85m,1989年10月,2023/01/04 18:45,610fca06504b0042101fff19f91fe3019f60722cf8f4d7d5d7a5761e370e920a,2万2500円／月（委託(巡回)）,1万3582円／月,1階,15戸
ＴＡＫ北千住,2980万円,東京都足立区千住緑町３-2-15,東京メトロ千代田線「北千住」歩14分,56.29m,2LDK,バルコニー面積：11.28m,1984年9月,2023/01/04 18:45,200190a5fddad2a2b3a995092a414e5d1c96eeb8190b5c6f59e59b8fcc4916e5,1万8306円／月（委託(巡回)）,2万1679円／月,8階,-
コスモ蓮根アルティア,2980万円,東京都板橋区坂下３-23-8,都営三田線「蓮根」歩9分,54.96m,2LDK,バルコニー面積：4.19m,1989年6月,2023/01/04 18:45,976da511882c85be9b8c2688157b7efa6f7a5a306de1340e6f977cba1a10ffc7,1万5600円／月（委託(巡回)）,1万6160円／月,3階,-
サンヴェール亀有,2980万円,東京都足立区東和４,ＪＲ常磐線「亀有」歩14分,55.38m,1LDK,バルコニー面積：3.6m,1994年3月,2023/01/04 18:45,3eceb8e9eee7980423ef8b4a85bf259d08f4b800ad662471bac8ce5e4601fd3c,1万4120円／月（委託(巡回)）,1万8280円／月,4階,-
Ｗｉｎｇ大森南,2980万円,東京都大田区大森南５,京急空港線「穴守稲荷」歩17分,52.4m,2LDK,-,1988年5月,2023/01/04 18:45,52739142867b87850be15f39a39725dbce2b32ed0ee13f18f24fceb9dc08592b,1万1020円／月（委託(通勤)）,1万3900円／月,7階,64戸
高島平第二住宅,2980万円,東京都板橋区高島平３,都営三田線「新高島平」歩5分,75.78m,3LDK,バルコニー面積：15.03m,1972年7月,2023/01/04 18:45,02c9f2310dd60cd9ce1a50f30006c52d171d1a94794ff3e75ffec48427c24633,5000円／月（自主管理）,7000円／月,1階,30戸
ネオコーポ墨田,2990万円,東京都墨田区墨田２-10-11,東武伊勢崎線「鐘ヶ淵」歩6分,53.46m,2LDK,バルコニー面積：7.56m,1985年3月,2023/01/04 18:45,6253732a94a58589a8a7744e76dafe34eb60da41241c69daeea2a805a02e2375,8660円／月（委託(通勤)）,1万910円／月,3階,99戸
ネオコーポ墨田,2990万円,東京都墨田区墨田２,東武伊勢崎線「鐘ヶ淵」歩6分,53.46m,2LDK,バルコニー面積：7.56m,1985年3月,2023/01/04 18:46,6253732a94a58589a8a7744e76dafe34eb60da41241c69daeea2a805a02e2375,8660円／月（委託(通勤)）,1万910円／月,3階,99戸
田端スカイハイツ,3180万円,東京都荒川区西尾久４-12-11,ＪＲ山手線「田端」歩14分,50.26m,2DK,バルコニー面積：15.78m,1980年11月,2023/01/04 18:46,f283754bb6134e973821a18c6113a6b18ff1ccb3a189f81d2cebbddb124486b9,4020円／月（委託(通勤)）,9840円／月,4階,423戸
